Company,TypeName,Inches,Ram,Gpu,OpSys,Weight,Price,HDD,SSD,Touchscreen,IPS,X_res,Y_res,ppi,Cpu brand
Asus,Notebook,14.0,2,AMD Radeon R2,Windows,1.65,9.268865850956626,0,32,0,0,1366,768,111.93520355955211,AMD Processor
HP,Notebook,17.3,4,AMD Radeon 530,Windows,2.71,10.060060439307305,500,0,0,0,1920,1080,127.33567457123111,AMD Processor
Dell,Ultrabook,13.3,16,Intel UHD Graphics 620,Windows,1.2,11.508719833687696,0,512,1,0,3200,1800,276.053530085501,Intel Core i7
Apple,Ultrabook,13.3,8,Intel HD Graphics 6000,macOS,1.35,10.881314302543597,0,256,0,0,1440,900,127.67794013309688,Intel Core i5
Lenovo,Notebook,14.0,4,Intel HD Graphics 500,Windows,1.44,9.493013922696841,0,64,0,0,1366,768,111.93520355955211,Other Intel Processor
Acer,Notebook,15.6,4,Intel HD Graphics 620,Others/No OS/Linux,2.1,9.880922874286703,1,0,0,0,1366,768,100.45466986113651,Intel Core i3
Dell,Notebook,17.3,8,AMD Radeon 530,Windows,2.8,10.862092668762644,1,128,0,1,1920,1080,127.33567457123111,Intel Core i5
HP,Notebook,15.6,4,Intel HD Graphics 620,Windows,1.86,10.167289367847482,1,0,0,0,1366,768,100.45466986113651,Intel Core i5
HP,Notebook,15.6,8,Nvidia GeForce 930MX ,Windows,2.1,10.754345923917311,0,256,0,0,1920,1080,141.21199808219862,Intel Core i5
Asus,Notebook,15.6,4,Intel HD Graphics 620,Others/No OS/Linux,2.0,9.93914036985058,1,0,0,0,1920,1080,141.21199808219862,Intel Core i3
Dell,Gaming,15.6,16,Nvidia GeForce GTX 1060,Windows,2.65,11.288114524334732,1,256,0,1,1920,1080,141.21199808219862,Intel Core i7
Asus,Notebook,15.6,8,Nvidia GeForce 940MX,Others/No OS/Linux,2.3,10.235123369655367,1,0,0,0,1366,768,100.45466986113651,Intel Core i5
Acer,Notebook,15.6,4,Intel UHD Graphics 620,Windows,2.2,10.500590684075595,0,256,0,1,1920,1080,141.21199808219862,Intel Core i5
Dell,2 in 1 Convertible,17.3,12,Nvidia GeForce 150MX,Windows,2.77,10.882315804880687,1,0,1,0,1920,1080,127.33567457123111,Intel Core i5
Apple,Ultrabook,13.3,8,Intel Iris Graphics 540,macOS,1.37,11.233268703392177,0,256,0,1,2560,1600,226.98300468106115,Intel Core i5
Lenovo,Notebook,15.6,4,Intel HD Graphics 520,Others/No OS/Linux,2.2,9.88635767027266,0,128,0,0,1366,768,100.45466986113651,Intel Core i3
Asus,Gaming,17.3,8,AMD Radeon RX 580,Windows,3.2,11.144911042902732,1,256,0,0,1920,1080,127.33567457123111,AMD Processor
Dell,Notebook,15.6,4,AMD Radeon R5 M430,Windows,2.3,10.435465480609668,0,256,0,0,1920,1080,141.21199808219862,Intel Core i5
Asus,Notebook,17.3,4,Nvidia GeForce 920MX,Windows,2.8,10.11974666035778,1,0,0,0,1366,768,90.58340172449303,Other Intel Processor
Lenovo,2 in 1 Convertible,10.1,4,Intel HD Graphics 400,Others/No OS/Linux,0.69,9.740752129016979,0,64,1,1,1920,1200,224.17380907857276,Other Intel Processor
Acer,Notebook,15.6,8,Nvidia GeForce MX150,Windows,2.2,10.710152686205081,0,256,0,1,1920,1080,141.21199808219862,Intel Core i7
HP,Notebook,15.6,4,AMD Radeon R4 Graphics,Windows,1.86,9.963243430044656,0,256,0,0,1920,1080,141.21199808219862,AMD Processor
HP,Notebook,13.3,8,Intel UHD Graphics 620,Windows,1.49,10.981350045485636,0,512,0,0,1920,1080,165.6321180513006,Intel Core i7
Acer,Notebook,15.6,4,Intel HD Graphics 620,Windows,2.4,9.92620357881986,1,0,0,0,1366,768,100.45466986113651,Intel Core i3
Dell,Notebook,15.6,8,AMD Radeon 520,Windows,2.13,10.619090308798832,0,256,0,0,1920,1080,141.21199808219862,Intel Core i7
HP,Notebook,15.6,4,Intel HD Graphics 520,Windows,1.91,10.060060439307305,0,128,0,0,1920,1080,141.21199808219862,Intel Core i3
Asus,Notebook,15.6,4,Intel HD Graphics 620,Windows,2.0,10.349204995339194,0,256,0,0,1366,768,100.45466986113651,Intel Core i5
MSI,Gaming,17.3,16,Nvidia GeForce GTX 1070,Windows,2.43,11.778996083184301,2,256,0,0,1920,1080,127.33567457123111,Intel Core i7
Asus,Notebook,15.6,4,Intel HD Graphics 520,Others/No OS/Linux,2.0,10.003839546462832,0,256,0,0,1920,1080,141.21199808219862,Intel Core i3
Dell,Notebook,17.3,16,AMD Radeon 530,Windows,2.8,11.144911042902732,2,256,0,0,1920,1080,127.33567457123111,Intel Core i7
Dell,Ultrabook,14.0,8,Intel UHD Graphics 620,Windows,1.7,10.754345923917311,0,256,0,0,1920,1080,157.3505121487356,Intel Core i5
Lenovo,Notebook,14.0,8,Intel HD Graphics 620,Others/No OS/Linux,1.7,10.370822624347584,0,256,0,1,1920,1080,157.3505121487356,Intel Core i3
Asus,Notebook,14.0,8,Intel UHD Graphics 620,Windows,1.4,10.822504165817513,0,256,0,0,1920,1080,157.3505121487356,Intel Core i5
HP,Notebook,15.6,8,Intel HD Graphics 620,Windows,1.86,10.51225262382344,0,256,0,0,1920,1080,141.21199808219862,Intel Core i5
Asus,Ultrabook,15.6,16,Nvidia GeForce GTX 1050 Ti,Windows,1.8,11.56792715475193,0,512,0,0,1920,1080,141.21199808219862,Intel Core i7
HP,Notebook,15.6,4,AMD Radeon 520,Windows,1.86,10.059354039524031,500,0,0,0,1366,768,100.45466986113651,Intel Core i3
HP,Notebook,14.0,4,Intel HD Graphics 400,Windows,1.44,9.409283029786373,0,32,0,0,1366,768,111.93520355955211,Other Intel Processor
Lenovo,Notebook,15.6,4,Intel HD Graphics 620,Windows,1.9,10.283659467741664,1,0,0,0,1920,1080,141.21199808219862,Intel Core i5
Asus,Gaming,17.3,12,Nvidia GeForce GTX 1050 Ti,Others/No OS/Linux,3.0,10.830969824842061,1,0,0,0,1920,1080,127.33567457123111,Intel Core i7
Microsoft,Ultrabook,13.5,4,Intel HD Graphics 620,Windows,1.252,10.968576149165093,0,128,1,0,2256,1504,200.84255993695703,Intel Core i5
Dell,Ultrabook,13.3,8,AMD Radeon 530,Windows,1.4,10.837272366712863,0,256,0,1,1920,1080,165.6321180513006,Intel Core i7
Dell,Notebook,15.6,8,AMD Radeon 530,Windows,2.2,10.744054237880762,0,256,0,0,1920,1080,141.21199808219862,Intel Core i7
MSI,Gaming,17.3,8,Nvidia GeForce GTX 1050,Windows,2.7,10.974070668482735,1,128,0,0,1920,1080,127.33567457123111,Intel Core i5
Acer,Notebook,14.0,8,Intel HD Graphics 520,Windows,2.1,9.93914036985058,1,0,0,0,1366,768,111.93520355955211,Intel Core i3
Asus,Gaming,15.6,8,Nvidia GeForce GTX 1050,Windows,2.2,10.830969824842061,1,0,0,0,1920,1080,141.21199808219862,Intel Core i7
Lenovo,Notebook,15.6,8,Intel HD Graphics 620,Others/No OS/Linux,2.2,10.227464909398023,2,0,0,0,1920,1080,141.21199808219862,Intel Core i5
Dell,Notebook,15.6,8,Intel UHD Graphics 620,Windows,2.02,10.726662495168894,1,128,0,0,1920,1080,141.21199808219862,Intel Core i7
Acer,Notebook,15.6,4,Nvidia GeForce MX130,Windows,2.2,10.248438032778301,1,0,0,0,1920,1080,141.21199808219862,Intel Core i3
HP,Notebook,17.3,8,Nvidia GeForce 930MX,Windows,2.5,10.860047678274917,1,128,0,0,1920,1080,127.33567457123111,Intel Core i5
Dell,Ultrabook,15.6,8,Intel UHD Graphics 620,Windows,1.88,10.975129468486722,0,256,0,1,1920,1080,141.21199808219862,Intel Core i5
Apple,Ultrabook,12.0,8,Intel HD Graphics 615,macOS,0.92,11.295425956041104,0,512,0,1,2304,1440,226.41554716935852,Intel Core i5
HP,Notebook,14.0,8,Intel HD Graphics 620,Windows,1.63,10.732493415479688,0,256,0,0,1920,1080,157.3505121487356,Intel Core i5
Lenovo,Notebook,15.6,4,AMD R4 Graphics,Windows,2.2,9.964522443121997,0,128,0,0,1920,1080,141.21199808219862,AMD Processor
Acer,Notebook,15.6,4,AMD Radeon R5,Windows,2.1,9.954446791133256,1,0,0,0,1366,768,100.45466986113651,AMD Processor
Dell,Gaming,15.6,16,Nvidia GeForce GTX 1050 Ti,Windows,2.65,11.18267988243989,1,128,0,1,1920,1080,141.21199808219862,Intel Core i7
HP,Ultrabook,15.6,8,Nvidia GeForce GTX 940MX,Windows,1.83,10.525211768465944,0,256,0,1,1920,1080,141.21199808219862,Intel Core i7
HP,Notebook,15.6,8,Intel HD Graphics 620,Windows,1.96,10.370805929717411,0,256,0,0,1920,1080,141.21199808219862,Intel Core i5
Asus,Gaming,15.6,16,Nvidia GeForce GTX 1060,Windows,2.2,11.254189968552817,1,128,0,1,1920,1080,141.21199808219862,Intel Core i7
Dell,Ultrabook,13.3,8,Intel UHD Graphics 620,Windows,1.21,11.383485348791732,0,256,0,1,1920,1080,165.6321180513006,Intel Core i7
Asus,Gaming,15.6,8,AMD Radeon RX 560,Windows,2.45,10.525211768465944,1,0,0,0,1920,1080,141.21199808219862,AMD Processor
Acer,Notebook,15.6,8,Nvidia GeForce MX150,Windows,2.2,10.510802297245792,1,0,0,0,1920,1080,141.21199808219862,Intel Core i7
HP,Notebook,13.3,16,Intel UHD Graphics 620,Windows,1.49,11.063134731790107,0,512,0,0,1920,1080,165.6321180513006,Intel Core i7
Dell,Gaming,15.6,8,Nvidia GeForce GTX 1060,Windows,2.65,11.061462490597744,0,256,0,0,1920,1080,141.21199808219862,Intel Core i5
Asus,Ultrabook,14.0,8,Intel HD Graphics 620,Windows,1.25,10.931153634628432,0,256,0,0,1920,1080,157.3505121487356,Intel Core i7
Acer,2 in 1 Convertible,13.3,8,Intel UHD Graphics 620,Windows,1.5,10.717261720884188,0,256,1,1,1920,1080,165.6321180513006,Intel Core i5
Dell,Notebook,15.6,8,AMD Radeon R5 M430,Others/No OS/Linux,2.2,10.372324000891181,1,0,0,0,1920,1080,141.21199808219862,Intel Core i7
Dell,Notebook,15.6,4,AMD Radeon R5 M430,Others/No OS/Linux,2.2,10.159709917169616,0,256,0,0,1920,1080,141.21199808219862,Intel Core i3
Asus,Notebook,15.6,6,Nvidia GeForce 920M,Windows,2.0,10.333403292740233,0,256,0,0,1920,1080,141.21199808219862,Intel Core i3
HP,Gaming,15.6,12,Nvidia GeForce GTX 1050,Windows,2.62,11.105659536357711,1,128,0,1,1920,1080,141.21199808219862,Intel Core i7
HP,Notebook,15.6,8,AMD Radeon 530,Windows,1.91,10.55342238395318,0,256,0,0,1920,1080,141.21199808219862,Intel Core i7
HP,Notebook,15.6,4,AMD Radeon R2,Windows,2.1,9.83063294843456,500,0,0,0,1920,1080,141.21199808219862,AMD Processor
Dell,Notebook,15.6,8,AMD Radeon 520,Others/No OS/Linux,2.2,10.447907320733034,1,0,0,0,1920,1080,141.21199808219862,Intel Core i5
HP,Ultrabook,13.3,8,Nvidia GeForce MX150,Windows,1.38,10.99575173454406,0,256,0,1,1920,1080,165.6321180513006,Intel Core i7
Microsoft,Ultrabook,13.5,8,Intel HD Graphics 620,Windows,1.252,11.17598591917709,0,256,1,0,2256,1504,200.84255993695703,Intel Core i5
HP,Notebook,14.0,6,Nvidia GeForce 940MX,Windows,1.58,10.46628456073464,0,256,0,1,1920,1080,157.3505121487356,Intel Core i5
Lenovo,Notebook,15.6,4,Intel HD Graphics 520,Windows,1.85,10.003598553570956,1,0,0,0,1920,1080,141.21199808219862,Intel Core i3
Asus,Ultrabook,14.0,8,Nvidia GeForce 940MX,Windows,1.3,11.05978744833005,0,256,0,1,1920,1080,157.3505121487356,Intel Core i7
MSI,Gaming,15.6,16,Nvidia GeForce GTX 1050 Ti,Windows,2.2,11.144911042902732,1,256,0,0,1920,1080,141.21199808219862,Intel Core i7
Lenovo,Notebook,14.0,8,Intel HD Graphics 620,Windows,1.58,11.275358392990295,0,256,0,1,1920,1080,157.3505121487356,Intel Core i7
Asus,Ultrabook,15.6,16,Nvidia GeForce MX150,Windows,1.5,11.116014069333293,1,256,0,0,1920,1080,141.21199808219862,Intel Core i7
Dell,Ultrabook,13.3,8,Intel Iris Plus Graphics 640,Windows,1.23,11.204674904025435,0,256,1,0,3200,1800,276.053530085501,Intel Core i7
Lenovo,2 in 1 Convertible,13.3,8,Intel HD Graphics 620,Windows,1.37,11.219074000897615,0,256,1,1,1920,1080,165.6321180513006,Intel Core i5
HP,Notebook,14.0,4,Intel UHD Graphics 620,Windows,1.63,10.55758616512496,500,0,0,1,1366,768,111.93520355955211,Intel Core i5
Dell,Ultrabook,13.3,8,Intel UHD Graphics 620,Windows,1.21,11.371282634834179,0,256,0,1,1920,1080,165.6321180513006,Intel Core i5
HP,2 in 1 Convertible,13.3,8,Intel UHD Graphics 620,Windows,1.26,11.219066852909238,0,256,1,1,1920,1080,165.6321180513006,Intel Core i5
HP,Notebook,14.0,8,Intel UHD Graphics 620,Windows,1.63,10.963974208231726,0,512,0,0,1920,1080,157.3505121487356,Intel Core i7
Dell,Notebook,15.6,8,Nvidia GeForce 940MX,Windows,2.16,11.005825930702713,1,256,0,1,1920,1080,141.21199808219862,Intel Core i7
Asus,Notebook,17.3,4,Nvidia GeForce 920MX,Windows,2.0,10.310615277730193,1,0,0,0,1920,1080,127.33567457123111,Intel Core i3
Asus,Notebook,15.6,8,Nvidia GeForce 940MX,Windows,1.7,10.994857679947177,0,256,0,0,1920,1080,141.21199808219862,Intel Core i7
Acer,Notebook,15.6,6,Intel HD Graphics 620,Windows,2.1,10.147261623643049,1,0,1,1,1920,1080,141.21199808219862,Intel Core i3
MSI,Gaming,15.6,16,Nvidia GeForce GTX 1070,Windows,1.8,11.690461589827628,2,256,0,0,1920,1080,141.21199808219862,Intel Core i7
Lenovo,Notebook,15.6,8,Nvidia GeForce 940MX,Others/No OS/Linux,2.2,10.419692282932575,0,256,0,0,1920,1080,141.21199808219862,Intel Core i5
HP,Notebook,17.3,16,Nvidia GeForce 930MX ,Windows,2.5,11.123120297421588,0,512,0,0,1920,1080,127.33567457123111,Intel Core i7
Acer,Notebook,15.6,4,AMD Radeon R5,Windows,2.1,10.087028365734811,0,256,0,0,1366,768,100.45466986113651,AMD Processor
HP,Notebook,15.6,4,Intel HD Graphics 400,Others/No OS/Linux,1.86,9.532389087931671,500,0,0,0,1366,768,100.45466986113651,Other Intel Processor
HP,Notebook,14.0,8,Intel UHD Graphics 620,Windows,1.63,10.675061366393813,1,0,0,0,1920,1080,157.3505121487356,Intel Core i5
Asus,Notebook,14.0,4,AMD Radeon R2,Windows,1.65,9.603146168052769,0,64,0,0,1366,768,111.93520355955211,AMD Processor
Dell,Notebook,17.3,16,AMD Radeon 530,Windows,2.8,11.216927309554451,2,256,0,0,1920,1080,127.33567457123111,Intel Core i7
HP,Notebook,17.3,8,Intel UHD Graphics 620,Windows,2.5,10.808592759018333,0,256,0,0,1920,1080,127.33567457123111,Intel Core i5
Dell,Notebook,15.6,8,AMD Radeon R7 M445,Windows,2.36,10.435449831034946,1,0,0,0,1366,768,100.45466986113651,Intel Core i5
Dell,Notebook,15.6,4,AMD Radeon R5 M430,Windows,2.2,10.082583913974387,1,0,0,0,1920,1080,141.21199808219862,Intel Core i3
Acer,Ultrabook,14.0,8,Intel UHD Graphics 620,Windows,1.6,10.760018088869778,0,256,0,1,1920,1080,157.3505121487356,Intel Core i7
Acer,Notebook,15.6,4,Nvidia GeForce MX130,Windows,2.2,10.324700017611931,0,256,0,0,1920,1080,141.21199808219862,Intel Core i3
HP,Notebook,15.6,8,Intel HD Graphics 620,Windows,2.05,10.369151780182765,1,0,0,0,1366,768,100.45466986113651,Intel Core i7
HP,Notebook,14.0,8,Intel UHD Graphics 620,Windows,1.63,10.871243723980001,0,256,0,0,1920,1080,157.3505121487356,Intel Core i7
Lenovo,Notebook,15.6,4,Intel HD Graphics 500,Others/No OS/Linux,1.9,9.506417665734743,1,0,0,0,1366,768,100.45466986113651,Other Intel Processor
Asus,Gaming,17.3,8,Nvidia GeForce GTX 1050,Windows,3.0,10.81931097523836,1,128,0,0,1920,1080,127.33567457123111,Intel Core i5
Lenovo,Notebook,15.6,4,Nvidia GeForce 920MX,Others/No OS/Linux,2.2,10.188167121983652,1,0,0,0,1920,1080,141.21199808219862,Intel Core i5
HP,Notebook,13.3,4,Intel HD Graphics 620,Windows,1.32,10.525211768465944,0,256,0,1,1920,1080,165.6321180513006,Intel Core i5
Acer,Notebook,17.3,4,Nvidia GeForce MX130,Windows,3.0,10.460196261867386,1,0,0,1,1920,1080,127.33567457123111,Intel Core i3
Lenovo,Notebook,14.0,8,AMD Radeon RX 550,Windows,1.75,10.993085090159761,0,256,0,1,1920,1080,157.3505121487356,Intel Core i5
Lenovo,Gaming,15.6,8,Nvidia GeForce GTX 1050M,Others/No OS/Linux,2.4,10.742904151497525,0,256,0,1,1920,1080,141.21199808219862,Intel Core i7
Toshiba,Notebook,15.6,4,Intel HD Graphics 520,Windows,2.1,10.375818471540954,500,0,0,0,1366,768,100.45466986113651,Intel Core i5
HP,Notebook,15.6,4,AMD Radeon R4 Graphics,Windows,1.86,9.88635767027266,0,256,0,0,1366,768,100.45466986113651,AMD Processor
Asus,Ultrabook,14.0,8,Intel UHD Graphics 620,Windows,1.25,10.977716980635755,0,256,0,0,1920,1080,157.3505121487356,Intel Core i7
HP,Ultrabook,12.5,8,Intel HD Graphics 515,Windows,0.97,11.583439099510642,0,512,1,1,3840,2160,352.4651472131677,Other Intel Processor
Asus,Notebook,15.6,4,Intel HD Graphics 500,Windows,2.0,9.816202683605532,1,0,0,0,1920,1080,141.21199808219862,Other Intel Processor
MSI,Gaming,17.3,16,Nvidia GeForce GTX 1070,Windows,2.9,11.590859366057948,1,256,0,0,1920,1080,127.33567457123111,Intel Core i7
Acer,Notebook,15.6,4,Intel HD Graphics 520,Windows,2.1,10.078119620845703,1,0,0,0,1366,768,100.45466986113651,Intel Core i3
Dell,Gaming,15.6,16,Nvidia GeForce GTX 1050,Windows,2.56,11.105867681227291,0,512,0,0,1920,1080,141.21199808219862,Intel Core i7
Dell,Gaming,15.6,8,Nvidia GeForce GTX 1050,Windows,2.62,10.776844060703754,0,0,0,0,1920,1080,141.21199808219862,Intel Core i7
Lenovo,Notebook,15.6,4,Intel HD Graphics 620,Windows,1.9,10.186161103256786,0,128,0,0,1366,768,100.45466986113651,Intel Core i5
MSI,Gaming,17.3,16,Nvidia GeForce GTX 1060,Windows,2.8,11.519893134285821,1,256,0,0,1920,1080,127.33567457123111,Intel Core i7
HP,Ultrabook,14.0,4,Intel HD Graphics 620,Windows,1.48,10.962127485638561,0,256,0,0,1920,1080,157.3505121487356,Intel Core i5
HP,Notebook,15.6,6,AMD Radeon 520,Windows,1.91,10.403666298916729,0,256,0,0,1920,1080,141.21199808219862,Intel Core i5
Lenovo,2 in 1 Convertible,14.0,4,Intel HD Graphics 620,Windows,1.74,10.419692282932575,0,256,1,1,1920,1080,157.3505121487356,Intel Core i3
Asus,2 in 1 Convertible,13.3,8,Intel HD Graphics 620,Windows,1.1,11.157152970843999,0,256,1,0,1920,1080,165.6321180513006,Intel Core i5
Dell,2 in 1 Convertible,15.6,8,Intel UHD Graphics 620,Windows,1.56,10.931153634628432,0,256,1,0,1920,1080,141.21199808219862,Intel Core i7
Toshiba,Notebook,15.6,4,Intel HD Graphics 520,Windows,2.1,10.078119620845703,500,0,0,0,1366,768,100.45466986113651,Intel Core i3
Asus,Notebook,15.6,4,AMD Radeon R5 M420,Windows,2.03,9.974497588178817,1,0,0,0,1366,768,100.45466986113651,AMD Processor
Acer,Notebook,17.3,4,Nvidia GeForce MX150,Windows,3.0,10.666403303650696,0,256,0,1,1920,1080,127.33567457123111,Intel Core i5
Dell,Notebook,15.6,8,AMD Radeon 520,Windows,2.13,10.56586207442882,0,256,0,0,1920,1080,141.21199808219862,Intel Core i5
Lenovo,Gaming,15.6,16,Nvidia GeForce GTX 1050 Ti,Windows,2.5,10.959350991490268,0,256,0,1,1920,1080,141.21199808219862,Intel Core i7
Acer,Notebook,15.6,4,Intel HD Graphics 500,Windows,2.1,9.827763506006608,1,0,0,0,1366,768,100.45466986113651,Other Intel Processor
MSI,Gaming,15.6,16,Nvidia GeForce GTX 1060,Windows,2.4,11.470547260182666,1,256,0,1,1920,1080,141.21199808219862,Intel Core i7
Acer,Notebook,15.6,4,Intel HD Graphics 505,Windows,2.1,9.871367833143674,1,0,0,0,1366,768,100.45466986113651,Other Intel Processor
Dell,Gaming,15.6,8,Nvidia GeForce GTX 1050,Windows,2.56,10.942047370678033,1,128,0,0,1920,1080,141.21199808219862,Intel Core i7
Acer,Notebook,17.3,8,Nvidia GeForce MX150,Windows,3.0,10.725492220020703,0,256,0,1,1920,1080,127.33567457123111,Intel Core i5
HP,Notebook,13.3,4,Intel UHD Graphics 620,Windows,1.49,10.60095339424009,500,0,0,1,1920,1080,165.6321180513006,Intel Core i5
Huawei,Ultrabook,13.0,8,Intel HD Graphics 620,Windows,1.05,11.18267988243989,0,256,0,1,2160,1440,199.69207064108247,Intel Core i5
HP,Notebook,17.3,6,AMD Radeon 520,Windows,2.71,10.525211768465944,2,0,0,1,1920,1080,127.33567457123111,Intel Core i5
Lenovo,Notebook,15.6,4,AMD Radeon R4 Graphics,Others/No OS/Linux,2.2,9.708902303129879,500,0,0,0,1366,768,100.45466986113651,AMD Processor
Toshiba,Notebook,15.6,4,Intel HD Graphics 620,Windows,2.0,10.167923515707006,500,0,0,0,1366,768,100.45466986113651,Intel Core i3
HP,Notebook,17.3,8,Nvidia GeForce 930MX,Windows,2.5,10.803190260734986,0,256,0,0,1920,1080,127.33567457123111,Intel Core i5
Dell,Notebook,15.6,8,Intel HD Graphics 620,Windows,2.3,10.104611236292678,1,0,0,0,1366,768,100.45466986113651,Intel Core i3
Acer,Notebook,15.6,4,Intel HD Graphics 520,Windows,2.1,10.082583913974387,0,128,0,0,1366,768,100.45466986113651,Intel Core i3
MSI,Gaming,18.4,32,Nvidia GTX 980 SLI,Windows,4.4,11.912578515747587,1,512,0,0,1920,1080,119.7232157653423,Intel Core i7
Lenovo,Notebook,15.6,8,AMD R17M-M1-70,Windows,1.9,10.676292135779944,1,128,0,0,1920,1080,141.21199808219862,Intel Core i5
HP,2 in 1 Convertible,13.3,8,Intel UHD Graphics 620,Windows,1.29,11.288114524334732,0,256,1,1,3840,2160,331.2642361026012,Intel Core i5
Dell,Notebook,15.6,16,AMD Radeon 530,Others/No OS/Linux,2.02,10.931153634628432,2,256,0,0,1920,1080,141.21199808219862,Intel Core i7
Dell,Ultrabook,13.3,8,Intel UHD Graphics 620,Windows,1.23,11.219074000897615,0,256,0,0,1920,1080,165.6321180513006,Intel Core i5
Lenovo,2 in 1 Convertible,13.9,16,Intel UHD Graphics 620,Windows,1.4,11.49796125761926,0,512,1,1,3840,2160,316.96506044349616,Intel Core i7
